qLvvLLAPQPQkcekijknmkloponoppqqwwwwqmblaaffffv_0222110000122111 F1 1 G 1 N 1 [2] [8,2,6] Z []
qLvvvAQLPQQkbhgljmnpkmonmopnpxccccaxefxaaataxr_0111002202021111 F0 1 G 1 N 1 [2] [6,7,3] Z []
qLvvwLwPQQQkcgihpkpjponmloonnqajfqshfhhhhhnkcv_2101222112211110 F0 1 G 8 N 1 [2] [8,8,0] Z ['K12n642']
qLvvwzALQQQkcghlhojkoplnlponpqaoqoloollaaqfffr_2101222112200011 F0 1 G 1 N 1 [2] [8,6,2] Z []
qLvwMPLvQAQkbegfggilknmoopnpphehprwfwcwwwwuklx_2111220221110012 F0 1 G 1 N 1 [2] [10,5,1] Z []
qLvwMPvAAAQkbegfggkjmlonnoppphehprwqxawawjttxf_1200002221101022 F0 1 G 1 N 1 [2] [12,0,4] Z []
qvLALLzwQMQkcdfhglkjnmomopppoffalfabgahuhkbfgv_0222200111122002 F1 1 G 1 N 1 [2] [8,6,2] Z []
qvLALvLAAQQkcdfhjlnojmlnpopopffalsetafxeaafjfj_2000022221200001 F0 1 G 1 N 1 [2] [8,2,6] Z []
qvLALvLQzQQkcdfhjlnljmloppoopffaljetmgteaajjjj_0222200111111100 F0 1 G 1 N 1 [2] [10,5,1] Z []
qvLALvMAAAQkcdfhjilmnkmloppopffalvbetabaevfsnc_2000022221200020 F1 1 G 1 N 1 [2] [8,0,8] Z ['K13n631']
qvLALzPwAAQkcdfhiljknmmoopppoffalaaseallvsatas_2000022221001002 F0 1 G 1 N 1 [2] [6,1,9] Z []
qvLLAAMzzMQkefdgfgjjlmmopnoppcavxxxxaaffqqfaqf_0111122221110022 F0 1 G 1 N 1 [2] [8,6,2] Z []
qvLLAvvMQQQkefgeimklkpmnponopcaecshcdcpqaorwrj_0111122222011100 F1 1 G 1 N 1 [2] [10,3,3] Z []
qvLLLLLPPQQkegfjljmojpmpomnopgeeivoheklmphamkr_2100100211221210 F0 1 G 1 N 1 [2] [12,4,0] Z []
qvLLLLQPLPQkeeekiikljmpnmooppfooffooafqagjbvbg_2011022222200111 F0 1 G 1 N 1 [2] [8,3,5] Z []
qvLLLQLAPLQkeeihjhklhnmoppoopgoaaigaagaaaapppp_2100100211112200 F0 1 G 1 N 1 [2] [6,1,9] Z []
qvLLLvPQAPQkcdhknkmkllpolopopwragxgxwwbqqbcncn_1020211111002200 F1 1 G 2 N 1 [2] [8,6,2] Z []
qvLLLvQLQMQkeffhljlmkompnpnopgllgvvffbegahalsf_2100100222222100 F1 1 G 1 N 1 [2] [10,1,5] Z ['K13n4418']
qvLLLvvQQQQkcdhjkmiopklnpnoponktvnakatnbipqkgk_1000011111212202 F1 1 G 1 N 1 [2] [8,5,3] Z []
qvLLvLLMQQQkefkhonmjpkomnponpcaagaagsewxcmammx_0111122200222111 F0 1 G 1 N 1 [2] [10,5,1] Z []
qvLLvLLQPQQkefklminmjpompnonpcaabwcagsppchhhho_0111122200222000 F1 1 G 1 N 1 [2] [10,2,4] Z []
qvLLvLLQPQQkefkloilmjpnmopnopcaabacjgspqcqtuqo_0111122200222110 F0 1 G 1 N 1 [2] [10,5,1] Z []
qvLLvLPAPQQkefkjnmijlkmpopoopcaawtwcccwcdddago_0111122200222011 F1 1 G 1 N 1 [2] [12,3,1] Z ['K13n4174']
qvLLvLzQAQQkefjlhijknponmpnopghigjgoommhhomaag_1222211000101002 F0 1 G 1 N 1 [2] [10,3,3] Z ['K14n20639']
qvLLvPLAPQQkefjkmkilpjonnpopocamatgcrtcittxgog_0111122200220011 F1 1 G 1 N 1 [2] [10,5,1] Z ['K13n986']
qvLLvPLQAPQkefjkhnimjlnopmoppcamagacaccqqlmvrr_0111122200221111 F0 1 G 1 N 1 [2] [10,5,1] Z []
qvLvAPALMPQkcifgjhkmnlpmnooppntiiagfuappabbbvb_1000011111220020 F0 1 G 1 N 1 [2] [10,6,0] Z ['K12n528']
qvLvAPwzAQQkcifgjkknomopmnoppntiiavvuaiatvfnow_1000011111202002 F0 1 G 1 N 1 [2] [10,5,1] Z []
qvLvAvLPQQQkceijkmoknpomnopmpjjabcaagahhhhhhhf_1222201010102222 F1 1 G 1 N 1 [2] [8,6,2] Z []
